,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpOverall,Age,Complain,Customer_Days,Income,Kidhome,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntRegularProds,MntSweetProducts,MntTotal,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Response,Teenhome,Z_CostContact,Z_Revenue,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,Marital,Education,ChildrenTotal
0,0,0,0,0,0,0,63,0,2822,58138.0,0,172,88,88,546,1441,88,1529,635,10,3,4,8,7,58,1,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,0
1,0,0,0,0,0,0,66,0,2272,46344.0,1,2,1,6,6,15,1,21,11,1,2,2,1,5,38,0,1,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,2
2,0,0,0,0,0,0,55,0,2471,71613.0,0,111,49,42,127,692,21,734,426,2,1,10,8,4,26,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,0
3,0,0,0,0,0,0,36,0,2298,26646.0,1,10,4,5,20,43,3,48,11,0,2,4,2,6,26,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
4,0,0,0,0,0,0,39,0,2320,58293.0,1,46,43,15,118,392,27,407,173,3,5,6,5,5,94,0,0,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
5,0,0,0,0,0,0,53,0,2452,62513.0,0,0,42,14,98,688,42,702,520,4,2,10,6,6,16,0,1,3,11,0,0,0,1,0,0,0,0,1,0,Together,Master,1
6,0,0,0,0,0,0,49,0,2752,55635.0,0,50,65,27,164,536,49,563,235,3,4,7,7,6,34,0,1,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,1
7,0,0,0,0,0,0,35,0,2576,33454.0,1,3,10,23,56,123,1,146,76,0,2,4,4,8,32,0,0,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
8,0,0,0,0,0,0,46,0,2547,30351.0,1,3,0,2,24,42,3,44,14,0,1,2,3,9,19,1,0,3,11,0,0,0,0,1,0,0,0,1,0,Together,PhD,1
9,0,0,1,0,0,1,70,0,2267,5648.0,1,1,0,13,6,23,1,36,28,0,1,0,1,20,68,0,1,3,11,0,0,0,0,1,0,0,0,1,0,Together,PhD,2
10,0,0,0,0,0,0,44,0,2752,7500.0,0,11,16,16,11,29,1,45,6,0,1,3,2,8,59,0,0,3,11,0,1,0,0,0,0,1,0,0,0,Married,Basic,0
11,0,0,0,0,0,0,61,0,2385,63033.0,0,225,61,30,480,1042,112,1072,194,4,1,8,3,2,82,0,0,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,0
12,0,0,0,0,0,0,68,0,2385,59354.0,1,3,2,14,53,282,5,296,233,1,3,5,6,6,53,0,1,3,11,0,0,0,1,0,1,0,0,0,0,Divorced,Master,2
13,0,0,0,0,0,0,33,0,2786,17323.0,0,6,14,5,17,36,1,41,3,0,1,3,1,8,38,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
14,1,0,0,0,1,2,74,0,2741,82800.0,0,59,22,45,115,1225,68,1270,1006,6,1,12,7,3,23,1,0,3,11,0,0,0,0,1,0,0,1,0,0,Single,PhD,0
15,0,0,0,0,0,0,40,0,2711,41850.0,1,2,5,4,19,88,13,92,53,0,3,3,3,8,51,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,2
16,0,0,0,0,0,0,74,0,2826,37760.0,0,150,5,28,38,261,12,289,84,1,2,6,4,7,20,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,0
17,1,0,0,0,0,1,71,0,2617,76995.0,0,0,80,176,498,1430,16,1606,1012,4,2,9,11,5,91,0,1,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,1
18,0,0,0,0,0,0,35,0,2762,33812.0,1,30,17,39,19,55,24,94,4,1,2,3,2,6,86,0,0,3,11,1,0,0,0,0,0,0,1,0,0,Single,2n Cycle,1
19,0,0,0,0,0,0,38,0,2849,37040.0,0,69,2,48,73,220,38,268,86,2,1,5,4,8,41,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
20,0,0,0,0,0,0,41,0,2698,2447.0,1,1,1,1,1725,1728,1,1729,1,28,15,0,0,1,42,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
21,0,0,0,1,0,1,71,0,2712,58607.0,0,0,0,19,86,934,0,953,867,3,3,9,2,8,63,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
22,0,0,0,0,0,0,66,0,2328,65324.0,0,21,0,5,102,534,32,539,384,2,3,9,6,4,0,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
23,0,0,0,0,0,0,69,0,2627,40689.0,0,39,3,99,27,246,6,345,270,1,7,5,7,8,69,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
24,0,0,0,0,0,0,51,0,2702,18589.0,0,15,4,13,25,49,12,62,6,1,2,3,2,7,89,0,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,0
25,0,0,0,0,0,0,44,0,2557,53359.0,1,3,4,41,30,175,6,216,173,1,4,4,5,7,4,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,2
26,0,0,0,0,0,0,31,0,2553,38360.0,1,20,2,10,42,111,21,121,36,1,2,4,2,3,26,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
27,0,0,0,0,1,1,55,0,2378,84618.0,0,21,100,0,801,1672,66,1672,684,9,1,10,6,2,96,0,0,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,0
28,0,0,0,0,0,0,31,0,2197,10979.0,0,2,4,4,10,22,2,26,8,0,2,3,3,5,34,0,0,3,11,0,0,0,1,0,1,0,0,0,0,Divorced,Master,0
29,0,0,0,0,0,0,57,0,2573,38620.0,0,34,17,89,44,140,22,229,112,5,1,3,2,3,56,0,0,3,11,0,0,0,1,0,0,0,0,1,0,Together,Master,0
30,0,0,0,1,0,1,50,0,2786,40548.0,0,2,0,3,5,114,0,117,110,1,2,4,2,5,31,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
31,0,0,0,0,0,0,68,0,2767,46610.0,0,33,12,43,96,216,22,259,96,1,6,6,4,6,8,1,2,3,11,0,0,0,0,1,1,0,0,0,0,Divorced,PhD,2
32,0,0,0,0,0,0,74,0,2653,68657.0,0,119,34,22,471,1152,68,1174,482,5,1,9,3,7,4,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,0
33,0,0,0,0,0,0,69,0,2463,49389.0,1,2,0,3,19,59,1,62,40,0,1,3,2,7,55,0,1,3,11,0,0,0,1,0,0,0,1,0,0,Single,Master,2
34,0,0,0,0,0,0,50,0,2339,67353.0,0,0,17,35,151,843,8,878,702,6,5,12,5,2,37,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
35,0,0,0,0,0,0,44,0,2459,23718.0,1,15,3,36,14,9,7,45,6,1,3,2,3,7,76,0,0,3,11,1,0,0,0,0,0,1,0,0,0,Married,2n Cycle,1
36,0,0,0,0,0,0,47,0,2297,42429.0,0,2,0,4,6,59,0,63,55,1,2,3,1,5,99,0,1,3,11,0,0,1,0,0,0,0,0,0,1,Widow,Graduation,1
37,0,0,1,0,0,1,77,0,2672,48948.0,0,160,8,42,206,818,49,860,437,10,2,5,7,6,53,1,0,3,11,0,0,0,0,1,1,0,0,0,0,Divorced,PhD,0
38,0,0,0,0,0,0,40,0,2585,80011.0,0,82,76,102,536,1191,178,1293,421,6,2,5,8,4,3,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
39,0,0,0,0,0,0,35,0,2633,20559.0,1,3,1,7,29,39,0,46,13,0,2,3,2,8,88,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,1
